file_name;future_predicion;seed;seq_length;epochs;batch_size;learning_rate;patience;verbose;standard_scaler;validation_avg_mae;validation_avg_rmse;validation_avg_mape;validation_avg_tfe;future_predictions_mae_nov_dec_2019;future_predictions_rmse_nov_dec_2019;future_predictions_mape_nov_dec_2019;future_predictions_tfe_nov_dec_2019
20240713-1358-LSTM_v8v4_feb_tfe2_0.3001.csv.metrics.json;FALSO;14;3;50;64;0,0001;10;0;0;4,131204955;9,307913656;112,5369634;0,30005718;4,131204955;10,60475696;112,5369634;0,297269541
20240713-1401-LSTM_v8v4_feb_tfe2_0.2907.csv.metrics.json;FALSO;14;6;50;64;0,0001;10;0;0;3,585105013;8,285810231;116,2234508;0,290658505;3,585105013;9,289233332;116,2234508;0,261127376
20240713-1403-LSTM_v8v4_feb_tfe2_0.2721.csv.metrics.json;FALSO;14;3;20;32;0,0001;10;0;0;3,46430595;8,138912045;112,5947949;0,272149426;3,46430595;9,212143174;112,5947949;0,250961166
20240713-1406-LSTM_v8v4_feb_tfe2_0.2882.csv.metrics.json;FALSO;14;6;20;32;0,0001;10;0;0;3,600493348;8,215071597;124,2351259;0,288160886;3,600493348;9,386812263;124,2351259;0,262554203
20240713-1407-LSTM_v8v4_feb_tfe2_0.3146.csv.metrics.json;FALSO;14;3;20;64;0,0001;10;0;0;4,384586767;9,554974895;129,9866008;0,314625351;4,384586767;10,90824589;129,9866008;0,316178169
20240713-1410-LSTM_v8v4_feb_tfe2_0.2966.csv.metrics.json;FALSO;14;6;20;64;0,0001;10;0;0;3,799093982;8,650924677;110,562958;0,296587732;3,799093982;9,802891972;110,562958;0,278408658
20240713-1622-LSTM_v8v4_feb_tfe2_0.4822.csv.metrics.json;FALSO;52;3;50;32;0,0001;10;0;1;5,985156426;12,16783272;370,6086245;0,482233709;5,985156426;14,58394986;370,6086245;0,430770485
20240713-1626-LSTM_v8v4_feb_tfe2_0.466.csv.metrics.json;FALSO;52;6;50;32;0,0001;10;0;1;4,460408022;9,45169193;315,9746949;0,466032547;4,460408022;10,50936882;315,9746949;0,325045459
20240713-1630-LSTM_v8v4_feb_tfe2_0.3616.csv.metrics.json;FALSO;52;12;50;32;0,0001;10;0;1;4,34656721;10,0545001;136,9061604;0,361641963;4,34656721;11,64992778;136,9061604;0,320693991
20240713-1631-LSTM_v8v4_feb_tfe2_1.042.csv.metrics.json;FALSO;52;3;50;64;0,0001;10;0;1;9,982766975;20,3565579;1348,112236;1,0420479;9,982766975;26,18791768;1348,112236;0,718966218
20240713-1634-LSTM_v8v4_feb_tfe2_0.4616.csv.metrics.json;FALSO;52;6;50;64;0,0001;10;0;1;4,555357253;9,42671177;305,0426628;0,461633088;4,555357253;10,39459944;305,0426628;0,331007173
20240713-1637-LSTM_v8v4_feb_tfe2_0.3833.csv.metrics.json;FALSO;52;12;50;64;0,0001;10;0;1;4,465555424;10,29817783;169,7629338;0,383258834;4,465555424;11,90895539;169,7629338;0,329929742
20240713-1640-LSTM_v8v4_feb_tfe2_0.5184.csv.metrics.json;FALSO;52;3;50;16;0,0001;10;0;1;6,396710987;13,19939146;463,5354387;0,518418361;6,396710987;16,10200596;463,5354387;0,460241103
20240713-1646-LSTM_v8v4_feb_tfe2_0.4106.csv.metrics.json;FALSO;52;6;50;16;0,0001;10;0;1;3,938192217;8,492489489;287,1591792;0,410572266;3,938192217;9,316732332;287,1591792;0,287411374
20240713-1652-LSTM_v8v4_feb_tfe2_0.4298.csv.metrics.json;FALSO;52;12;50;16;0,0001;10;0;1;4,671625868;9,863079356;171,364975;0,429826876;4,671625868;10,95913133;171,364975;0,346035279
20240713-1654-LSTM_v8v4_feb_tfe2_0.5104.csv.metrics.json;FALSO;52;3;20;32;0,0001;10;0;1;6,335262221;11,63353132;317,6516026;0,510446822;6,335262221;13,74151972;317,6516026;0,455138581
20240713-1657-LSTM_v8v4_feb_tfe2_0.4637.csv.metrics.json;FALSO;52;6;20;32;0,0001;10;0;1;4,47841367;9,76813401;316,8999176;0,463742677;4,47841367;10,98063347;316,8999176;0,325665052
20240713-1701-LSTM_v8v4_feb_tfe2_0.4073.csv.metrics.json;FALSO;52;12;20;32;0,0001;10;0;1;4,584419751;10,31331479;169,6581545;0,40731596;4,584419751;11,78205092;169,6581545;0,340377037
20240713-1702-LSTM_v8v4_feb_tfe2_0.3649.csv.metrics.json;FALSO;52;3;20;64;0,0001;10;0;1;4,058383294;8,192314161;250,2149062;0,364853865;4,058383294;9,1539349;250,2149062;0,291653521
20240713-1704-LSTM_v8v4_feb_tfe2_0.4765.csv.metrics.json;FALSO;52;6;20;64;0,0001;10;0;1;4,571883284;9,505744732;322,1265825;0,476469088;4,571883284;10,48819014;322,1265825;0,332569808
20240713-1707-LSTM_v8v4_feb_tfe2_0.4075.csv.metrics.json;FALSO;52;12;20;64;0,0001;10;0;1;4,742004424;10,53421507;182,1002228;0,407452339;4,742004424;12,04808852;182,1002228;0,350587162
20240713-1711-LSTM_v8v4_feb_tfe2_0.6149.csv.metrics.json;FALSO;52;3;20;16;0,0001;10;0;1;6,211283762;12,88848797;279,9973751;0,614870346;6,211283762;14,11497246;279,9973751;0,446112109
20240713-1715-LSTM_v8v4_feb_tfe2_0.4683.csv.metrics.json;FALSO;52;6;20;16;0,0001;10;0;1;4,291897573;8,735721619;335,3040864;0,468257517;4,291897573;9,530205275;335,3040864;0,313054705
20240713-1720-LSTM_v8v4_feb_tfe2_0.4016.csv.metrics.json;FALSO;52;12;20;16;0,0001;10;0;1;4,615570694;10,49337293;147,100575;0,401603205;4,615570694;12,13057772;147,100575;0,342809312
